character,Seinfeld.S04E06.The.Watch.merged,Seinfeld.S04E07.The.Bubble.Boy.merged,Seinfeld.S04E08.The.Cheever.Letters.merged,Seinfeld.S04E09.The.Opera.merged,Seinfeld.S04E10.The.Virgin.merged,Seinfeld.S04E11.The.Contest.merged,Seinfeld.S04E12.The.Airport.merged,Seinfeld.S04E13.The.Pick.merged,Seinfeld.S04E15.The.Visa.merged,Seinfeld.S04E16.The.Shoes.merged,Seinfeld.S04E17.The.Outing.merged,Seinfeld.S04E18.The.Old.Man.merged,Seinfeld.S04E19.The.Implant.merged,Seinfeld.S04E20.The.Junior.Mint.merged,Seinfeld.S04E21.The.Smelly.Car.merged,Seinfeld.S04E22.The.Handicap.Spot.merged,Seinfeld.S05E01.The.Mango.merged,Seinfeld.S05E02.The.Puffy.Shirt.merged,Seinfeld.S05E03.The.Glasses.merged,Seinfeld.S05E04.The.Sniffing.Accountant.merged,Seinfeld.S05E05.The.Bris.merged,Seinfeld.S05E06.The.Lip.Reader.merged,Seinfeld.S05E07.The.Non-Fat.Yogurt.merged,Seinfeld.S05E08.The.Barber.merged,Seinfeld.S05E09.The.Masseuse.merged,Seinfeld.S05E10.The.Cigar.Store.Indian.merged,Seinfeld.S05E11.The.Conversion.merged,Seinfeld.S05E12.The.Stall.merged,Seinfeld.S05E13.The.Dinner.Party.merged,Seinfeld.S05E14.The.Marine.Biologist.merged,Seinfeld.S05E15.The.Pie.merged,Seinfeld.S05E16.The.Stand-In.merged,Seinfeld.S05E17.The.Wife.merged,Seinfeld.S05E20.The.Fire.merged,Seinfeld.S05E21.The.Hamptons.merged,Seinfeld.S06E06.The.Gymnast.merged,Seinfeld.S06E07.The.Soup.merged,Seinfeld.S06E08.The.Mom.and.Pop.Store.merged,Seinfeld.S06E09.The.Secretary.merged,Seinfeld.S06E12.The.Label.Maker.merged,Seinfeld.S06E13.The.Scofflaw.merged,Seinfeld.S06E17.The.Kiss.Hello.merged,Seinfeld.S06E18.The.Doorman.merged,Seinfeld.S06E19.The.Jimmy.merged,Seinfeld.S06E20.The.Doodle.merged,Seinfeld.S06E21.The.Fusilli.Jerry.merged,Seinfeld.S06E22.The.Diplomats.Club.merged,Seinfeld.S06E23.The.Face.Painter.merged,Seinfeld.S07E01.The.Engagement.merged,Seinfeld.S07E02.The.Postponement.merged,Seinfeld.S07E03.The.Maestro.merged,Seinfeld.S07E04.The.Wink.merged,Seinfeld.S07E05.The.Hot.Tub.merged,Seinfeld.S07E06.The.Soup.Nazi.merged,Seinfeld.S07E07.The.Secret.Code.merged,Seinfeld.S07E08.The.Pool.Guy.merged,Seinfeld.S07E09.The.Sponge.merged,Seinfeld.S07E10.The.Gum.merged,Seinfeld.S07E12.The.Caddy.merged,Seinfeld.S07E16.The.Shower.Head.merged,Seinfeld.S07E17.The.Doll.merged,Seinfeld.S07E20.The.Calzone.merged,Seinfeld.S08E01.The.Foundation.merged,Seinfeld.S08E02.The.Soul.Mate.merged,Seinfeld.S08E03.The.Bizarro.Jerry.merged,Seinfeld.S08E04.The.Little.Kicks.merged,Seinfeld.S08E05.The.Package.merged,Seinfeld.S08E06.The.Fatigues.merged,Seinfeld.S08E08.The.Chicken.Roaster.merged,Seinfeld.S08E09.The.Abstinence.merged,Seinfeld.S08E10.The.Andrea.Doria.merged,Seinfeld.S08E11.The.Little.Jerry.merged,Seinfeld.S08E12.The.Money.merged,Seinfeld.S08E13.The.Comeback.merged,Seinfeld.S08E14.The.Van.Buren.Boys.merged,Seinfeld.S08E15.The.Susie.merged,Seinfeld.S08E18.The.Nap.merged,Seinfeld.S08E19.The.Yada.Yada.merged,Seinfeld.S08E20.The.Millennium.merged,Seinfeld.S08E21.The.Muffin.Tops.merged,Seinfeld.S09E02.The.Voice.merged,Seinfeld.S09E03.The.Serenity.Now.merged,Seinfeld.S09E04.The.Blood.merged,Seinfeld.S09E05.The.Junk.Mail.merged,Seinfeld.S09E06.The.Merv.Griffin.Show.merged,Seinfeld.S09E09.The.Apology.merged,Seinfeld.S09E10.The.Strike.merged,Seinfeld.S09E11.The.Dealership.merged,Seinfeld.S09E12.The.Reverse.Peephole.merged,Seinfeld.S09E13.The.Cartoon.merged,Seinfeld.S09E14.The.Strongbox.merged,Seinfeld.S09E15.The.Wizard.merged,Seinfeld.S09E16.The.Burning.merged,Seinfeld.S09E17.The.Bookstore.merged,Seinfeld.S09E18.The.Frogger.merged,Seinfeld.S09E19.The.Maid.merged
JERRY_lines,125,155,193,214,209,131,124,126,168,158,162,80,132,191,128,126,189,117,147,128,111,129,98,98,148,134,122,133,130,158,124,130,158,137,110,109,169,141,152,175,117,184,89,92,142,148,101,125,115,116,102,85,185,144,134,138,129,74,107,142,129,95,134,88,116,145,82,86,113,129,149,122,88,84,86,82,69,108,147,80,164,100,102,118,82,85,101,97,125,128,142,88,89,91,93,150
JERRY_laughs,29,47,55,67,51,40,42,38,42,48,37,15,33,63,40,34,53,49,55,38,36,45,20,25,59,39,43,50,57,51,43,41,55,40,47,34,52,47,49,48,37,54,28,25,43,42,26,36,25,32,21,33,50,39,33,35,40,25,34,43,39,30,46,22,49,49,28,28,44,39,37,34,21,26,28,32,15,36,45,31,42,41,25,34,29,26,21,24,37,42,35,27,36,32,29,43
JERRY_funniness,0.232,0.3032258064516129,0.2849740932642487,0.3130841121495327,0.24401913875598086,0.3053435114503817,0.3387096774193548,0.30158730158730157,0.25,0.3037974683544304,0.22839506172839505,0.1875,0.25,0.3298429319371728,0.3125,0.2698412698412698,0.2804232804232804,0.4188034188034188,0.3741496598639456,0.296875,0.32432432432432434,0.3488372093023256,0.20408163265306123,0.25510204081632654,0.39864864864864863,0.291044776119403,0.3524590163934426,0.37593984962406013,0.43846153846153846,0.3227848101265823,0.3467741935483871,0.3153846153846154,0.34810126582278483,0.291970802919708,0.42727272727272725,0.3119266055045872,0.3076923076923077,0.3333333333333333,0.3223684210526316,0.2742857142857143,0.3162393162393162,0.29347826086956524,0.3146067415730337,0.2717391304347826,0.3028169014084507,0.28378378378378377,0.25742574257425743,0.288,0.21739130434782608,0.27586206896551724,0.20588235294117646,0.38823529411764707,0.2702702702702703,0.2708333333333333,0.2462686567164179,0.2536231884057971,0.31007751937984496,0.33783783783783783,0.3177570093457944,0.3028169014084507,0.3023255813953488,0.3157894736842105,0.34328358208955223,0.25,0.4224137931034483,0.33793103448275863,0.34146341463414637,0.32558139534883723,0.3893805309734513,0.3023255813953488,0.2483221476510067,0.2786885245901639,0.23863636363636365,0.30952380952380953,0.32558139534883723,0.3902439024390244,0.21739130434782608,0.3333333333333333,0.30612244897959184,0.3875,0.25609756097560976,0.41,0.24509803921568626,0.288135593220339,0.35365853658536583,0.3058823529411765,0.2079207920792079,0.24742268041237114,0.296,0.328125,0.24647887323943662,0.3068181818181818,0.4044943820224719,0.3516483516483517,0.3118279569892473,0.2866666666666667
GEORGE_lines,81,89,122,58,148,109,104,114,107,105,147,82,76,93,120,119,108,101,107,52,99,119,70,86,100,56,112,82,136,114,77,98,41,103,123,69,97,105,88,118,109,62,54,82,74,78,79,74,116,134,118,66,54,80,95,111,116,111,63,65,71,93,94,117,84,59,80,54,71,89,126,108,79,58,108,82,85,60,72,72,89,92,79,86,65,97,111,143,82,70,115,93,100,53,93,87
GEORGE_laughs,27,26,37,14,34,30,31,42,31,38,45,34,24,22,34,28,35,33,31,17,34,34,15,30,29,19,39,24,43,42,28,35,9,30,38,25,24,30,16,31,30,19,22,22,18,22,24,28,32,39,36,18,17,24,23,36,38,32,17,20,19,29,28,39,31,27,21,19,21,27,24,48,19,27,35,24,28,14,20,22,39,24,38,22,25,38,31,50,22,20,38,36,30,18,22,22
GEORGE_funniness,0.3333333333333333,0.29213483146067415,0.30327868852459017,0.2413793103448276,0.22972972972972974,0.27522935779816515,0.2980769230769231,0.3684210526315789,0.2897196261682243,0.3619047619047619,0.30612244897959184,0.4146341463414634,0.3157894736842105,0.23655913978494625,0.2833333333333333,0.23529411764705882,0.32407407407407407,0.32673267326732675,0.2897196261682243,0.3269230769230769,0.3434343434343434,0.2857142857142857,0.21428571428571427,0.3488372093023256,0.29,0.3392857142857143,0.3482142857142857,0.2926829268292683,0.3161764705882353,0.3684210526315789,0.36363636363636365,0.35714285714285715,0.21951219512195122,0.2912621359223301,0.3089430894308943,0.36231884057971014,0.24742268041237114,0.2857142857142857,0.18181818181818182,0.2627118644067797,0.27522935779816515,0.3064516129032258,0.4074074074074074,0.2682926829268293,0.24324324324324326,0.28205128205128205,0.3037974683544304,0.3783783783783784,0.27586206896551724,0.291044776119403,0.3050847457627119,0.2727272727272727,0.3148148148148148,0.3,0.24210526315789474,0.32432432432432434,0.3275862068965517,0.2882882882882883,0.2698412698412698,0.3076923076923077,0.2676056338028169,0.3118279569892473,0.2978723404255319,0.3333333333333333,0.36904761904761907,0.4576271186440678,0.2625,0.35185185185185186,0.29577464788732394,0.30337078651685395,0.19047619047619047,0.4444444444444444,0.24050632911392406,0.46551724137931033,0.32407407407407407,0.2926829268292683,0.32941176470588235,0.23333333333333334,0.2777777777777778,0.3055555555555556,0.43820224719101125,0.2608695652173913,0.4810126582278481,0.2558139534883721,0.38461538461538464,0.3917525773195876,0.27927927927927926,0.34965034965034963,0.2682926829268293,0.2857142857142857,0.33043478260869563,0.3870967741935484,0.3,0.33962264150943394,0.23655913978494625,0.25287356321839083
KRAMER_lines,68,52,44,72,39,42,56,67,44,49,39,50,67,76,23,74,64,78,62,63,77,60,60,42,47,55,67,65,72,47,58,63,36,67,45,72,56,88,66,52,57,62,59,92,64,61,40,93,72,39,95,87,48,58,73,77,51,114,75,36,54,67,65,65,59,90,80,50,64,68,80,81,95,63,106,110,66,66,122,115,87,62,96,90,100,67,108,54,113,60,67,59,58,54,54,128
KRAMER_laughs,21,15,13,19,11,22,15,16,15,17,17,12,26,25,5,29,15,20,22,24,36,20,22,13,17,21,22,20,26,18,17,17,13,25,20,23,12,37,20,19,24,16,20,36,21,28,9,30,22,19,23,19,23,18,17,34,18,33,20,12,14,23,17,16,13,34,22,15,29,20,20,30,23,23,28,39,23,22,39,42,32,21,39,32,42,22,39,26,36,32,25,25,29,14,19,34
KRAMER_funniness,0.3088235294117647,0.28846153846153844,0.29545454545454547,0.2638888888888889,0.28205128205128205,0.5238095238095238,0.26785714285714285,0.23880597014925373,0.3409090909090909,0.3469387755102041,0.4358974358974359,0.24,0.3880597014925373,0.32894736842105265,0.21739130434782608,0.3918918918918919,0.234375,0.2564102564102564,0.3548387096774194,0.38095238095238093,0.4675324675324675,0.3333333333333333,0.36666666666666664,0.30952380952380953,0.3617021276595745,0.38181818181818183,0.3283582089552239,0.3076923076923077,0.3611111111111111,0.3829787234042553,0.29310344827586204,0.2698412698412698,0.3611111111111111,0.373134328358209,0.4444444444444444,0.3194444444444444,0.21428571428571427,0.42045454545454547,0.30303030303030304,0.36538461538461536,0.42105263157894735,0.25806451612903225,0.3389830508474576,0.391304347826087,0.328125,0.45901639344262296,0.225,0.3225806451612903,0.3055555555555556,0.48717948717948717,0.24210526315789474,0.21839080459770116,0.4791666666666667,0.3103448275862069,0.2328767123287671,0.44155844155844154,0.35294117647058826,0.2894736842105263,0.26666666666666666,0.3333333333333333,0.25925925925925924,0.34328358208955223,0.26153846153846155,0.24615384615384617,0.22033898305084745,0.37777777777777777,0.275,0.3,0.453125,0.29411764705882354,0.25,0.37037037037037035,0.24210526315789474,0.36507936507936506,0.2641509433962264,0.35454545454545455,0.3484848484848485,0.3333333333333333,0.319672131147541,0.3652173913043478,0.367816091954023,0.3387096774193548,0.40625,0.35555555555555557,0.42,0.3283582089552239,0.3611111111111111,0.48148148148148145,0.3185840707964602,0.5333333333333333,0.373134328358209,0.423728813559322,0.5,0.25925925925925924,0.35185185185185186,0.265625
MORTY_lines,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,9,,,16,,,,,,,,,,,,,,,32,,,,,,,,,,,,2,48,,6,,,,,,,,9,,,,,,,,,34,,4,,
